id,id_author,id_tweet,text,label,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
157,67923,301256339240407040,Law of Unintended Consequences Strikes Obamacare  US Health Crisis http://t.co/UJDbhX7u,neg,0.3733920454978943,0.009329167194664478,0.0011261828476563096,0.0004086800036020577,0.0011385894613340497,0.002198559232056141,0.14859728515148163,0.0016305216122418642,0.001019801595248282,0.03902057558298111
160,67923,260567654513917952,Obama has done everything but call Romney a liar #debate,neg,0.008794075809419155,0.0015786190051585436,0.826085090637207,0.3244377076625824,0.046134769916534424,0.002623403910547495,0.9712327122688293,0.0009588137036189437,0.0007669879123568535,0.2051752358675003
228,716543,1344650970,Obama 08 campaign had no dev server; all changes were made live. Cool. Scary. #sxsw | via @marlaerwin,neg,0.021148722618818283,0.0022540597710758448,0.0005085744196549058,0.0005105641321279109,0.001954452833160758,0.0025592101737856865,0.03511885181069374,0.0011317692697048187,0.0011600467842072248,0.39199087023735046
229,716543,121746558931836928,@BarackObama We are mourning a visionary. Your hashtag is offensive.,neg,0.40049952268600464,0.0014299169415608048,0.0008101387647911906,0.005322495009750128,0.01592962257564068,0.0017430268926545978,0.00301267858594656,0.0008869229932315648,0.0011562564177438617,0.5998792052268982
587,1624111,29436514991,RT @sacca: Ever ask what the fuck Obama has done so far?http://whatthefuckhasobamadonesofar.com/ (via @heif),neg,0.016133960336446762,0.0006092982948757708,0.0012147497618570924,0.01237129233777523,0.00672892015427351,0.004214044660329819,0.04860692471265793,0.002299623331055045,0.001003463752567768,0.010925469920039177
589,1624111,8317329788108801,"Difference in administrations: Shoot hoops w/Obama, he'll take a shot in the lip. Go hunting w/Cheney, you just get shot.",pos,0.00937954243272543,0.001199184451252222,0.00048138535930775106,0.014987030997872353,0.0017843983368948102,0.0005083786090835929,0.9814134836196899,0.0009065475896932185,0.0009069631923921406,0.014480683021247387
647,1828441,2278822264,President Obama Defends Regulation of Risk. http://tinyurl.com/mr4r73 Maybe he should regulate the regulators or better regulate the weather,neg,0.11289764940738678,0.011636190116405487,0.003612009109929204,0.43017521500587463,0.0009863239247351885,0.0031056704465299845,0.8050991892814636,0.0013245308073237538,0.0008023136761039495,0.05111787095665932
648,1828441,991000449,Obama's vision for America is not mine; Bracing myself for change; Glad it's over.,neg,0.20245495438575745,0.0014123800210654736,0.0020108139142394066,0.9681324362754822,0.003159597283229232,0.0033616963773965836,0.09405577927827835,0.000817126187030226,0.0006308242445811629,0.007309975102543831
650,1828441,991140762,Good speeches from McCain and Obama.  It is nice to have democrats motivated rather the ball and chain that they've been.,pos,0.021115723997354507,0.0004671498900279403,0.0003888174833264202,0.004684080369770527,0.007341600023210049,0.0007120638620108366,0.0009247647249139845,0.0008500681724399328,0.0006974262651056051,0.010106436908245087
651,1831611,185150699322093568,When is Newt going to fix these $4 gas prices....or is that Obama? #yaright (@ QuikTrip w/ 2 others) [pic]: http://t.co/1R03prf9,neg,0.016462938860058784,0.002511322498321533,0.0007345329504460096,0.00037254340713843703,0.002150615444406867,0.001971401972696185,0.9597379565238953,0.0013007349334657192,0.0006579508190043271,0.07046712189912796
652,1831611,116696276485144576,"Dear ""I hate change"" facebook people. Where were you back in 08? Did Obama cause your recent bitterness? #attachwatch",pos,0.19852858781814575,0.0069454689510166645,0.00041359494207426906,0.0015871525974944234,0.0017742662457749248,0.029023317620158195,0.0010557867353782058,0.0008192190434783697,0.0004952172166667879,0.24031847715377808
653,1831611,177966940814458880,Except @RonPaul http://t.co/uRNf86vy  RT @lottburger: I really feel sorry for conservative Americans. Their choices for president are shit.,pos,0.298153817653656,0.6488048434257507,0.0006324375863187015,0.0031071496196091175,0.0012873029336333275,0.0025298164691776037,0.0033294144086539745,0.0015246819239109755,0.0006271163583733141,0.04148714244365692
693,2056341,218350025607098370,"Touchdown, Obama!",pos,0.09186185896396637,0.0007750666700303555,0.0061243632808327675,0.4391014575958252,0.5212034583091736,0.007708154618740082,0.9764328598976135,0.00223901798017323,0.0017067077569663525,0.08598320186138153
726,2189991,163340755086225408,"Obamas Proposal: Forbid Dropping Out http://t.co/tq8Tpf80 - I love the ""education IRA"" for dropouts idea.",pos,0.016486389562487602,0.002659724559634924,0.0004623890854418278,0.0007324583129957318,0.0012405957095324993,0.006964029744267464,0.093878373503685,0.0012091657845303416,0.0005682162009179592,0.01485979650169611
