user.id	author.nickname	content	sentiment	annotator id	comment	dispute
102749771.0	itwaschris	If #Obama `s #healthreform plan passes Sunday, I'm changing my party affiliation on Monday. #progressive #hcr #left #politics #Change NOT!	negative	jbaldridge		
99589232.0	JohnThune2012	WSJ: Obama's Health Care Push Turning America into a ''Banana Republic'' -> http://tinyurl.com/yhuggo3 #tcot #sgp #hcr	negative	jbaldridge		
17383566.0	calliopeconsult	#hcr vote 1 mill. x more significant that ill-thought #startupvisa campaign.Latter turns blind eye to existing H-1B visa mess @chuckgrassley	positive	jbaldridge		
7597712.0	PajamasMedia	Larrey Anderson: Probable Constitutional Challenges to #ObamaCare http://bit.ly/bvXxur #tcot #hcr #handsoff	negative	jbaldridge		
106226879.0	Christsinternet	RT @Red_Forest @michellemalkin Heads-up: Six pro-life Dems working on #hcr sellout deal - http://is.gd/aOSkp (h/t @allahpundit)	negative	reuschj		
16474992.0	winterthur	College students will be able to stay on their parent's plan until they are 26 if they need to..-BarackObama #hcr #children #fem2	neutral	jbaldridge		
16170115.0	ShelbyKnox	President @BarackObama - the Hyde Amendment kills. Don't pass #hcr on the backs of women - NO EXECUTIVE ORDER for #stupak.	negative	reuschj	Could be pro hcr, but anti-hcr+no abortion spending	
58708159.0	ResistTyranny	RT @dbass777: retweet if you think #healthcare bill is unconstitutional. #hcr #obamacare #obama #iamthemob #teaparty #tlot #tcot	negative	speriosu		
18055737.0	realjohngreen	My 4-minute video summary of the health care reform bill the House will vote on today: http://bit.ly/8rGV4S #hcr	neutral	jbaldridge		
18740582.0	chrislee_ny26	Add another $208 billion onto the #hcr tab for the `doc fix' which will need 2 pass in 2 months. Another gimmick not including it in CBO amt	negative	nsudan		
7713202.0	GOPLeader	Boehner:  ``Pro-Life'' Democrats Can't Hide Behind an Executive Order http://ow.ly/1p40X #hcr	negative	reuschj		
70812966.0	RedDevilRio	REMEMBER THE ALAMO - REMEMBER PEARL HARBOR - REMEMBER OBAMACARE -- GO HERE: http://bit.ly/BLACKSunday  #hcr #teaparty	negative	speriosu		
23831682.0	ReaganGomez	Watching, probably the best show on TV today, The #HCR reality show on C-Span.	neutral	jbaldridge	Could be sarcasm...	
20592516.0	Azbats	3/21 the anniversary of my mother's death. Ins. refused her meds to help digestion probs caused by her pancreatic ca. /via @jillosopher #HCR	positive	jbaldridge		
14144520.0	BobBrigham	Contact @LorettaSanchez CoS & urge YES on #HCR. adriene.elrod@mail.house.gov pls rt 202-225-2965	positive	jbaldridge		
6980622.0	MediaLizzy	STUPAK office recording yeas & nays of callers on #hcr bill - PLS call 202.225.4735 #tcot #sgp #rfvradio	neutral	jbaldridge		
18767699.0	CBSNewsHotSheet	Despite reports, Pelosi aides say Rep. Stupak is not a ''yes'' vote yet. #hcr	neutral	jbaldridge		
24608909.0	Lizzs_Lockeroom	It is great to know that there are people who care about #HCR and not what's going on in #Tigersbedroom ....	positive	jbaldridge		
1146211.0	ianblue	LMAO! moments before #HCR passes and there are less than 100 teabaggers on the Hill, while thousands march 4 immigration reform! #tcot #p2	positive	jbaldridge		
16289988.0	MississippiMama	RT @MediaLizzy: STUPAK office recording yeas & nays of callers on #hcr bill - PLS call 202.225.4735 #killthebill	neutral	jbaldridge		
16921339.0	cchangrl	Black leaders supporting #hcr bill are more akin to Tuskeegee experiment enablers than civil rights leaders.  Shameful.	negative	jbaldridge		
7713202.0	GOPLeader	RT @RasmussenPoll It's time to decide and new poll shows 54% of voters oppose Dems' #hcr http://ow.ly/1p4en	negative	reuschj		
55329156.0	RNCResearch	RT @NRCC: Brian #Baird's (D, #WA03) `YES' vote on #hcr takeover likely to hurt Dems vying to succeed him #gopcodered	negative	jbaldridge		
26459660.0	RTHTGakaRoland	SAVE A PRESIDENCY - KILL A CONSTITUTION?? http://bit.ly/BooHooHoo  @bacaca43 @repjohnbarrow #tweetcongress #hcr	negative	jbaldridge		
22393263.0	indjunjoe	Okay, this is a done deal. Anybody knows a good spot to watch the end of the world, before things go back to normal tomorrow? #hcr	positive	jbaldridge	Sarcasm about people over-reacting to possible passage of the bill.	
16563576.0	PilarMarrero	Today #HCR will pass in DC Also #immigration marches going on in DC and Los Angeles, asking for reform.	neutral	jbaldridge		
16434558.0	LyndaOFA	Speaker Pelosi wielding the same gavel today used to pass Medicare. #HCR #OFA  #p2	positive	jbaldridge	#OFA is pro-hcr	
26373615.0	aka_sana	Watch #hcr vote live. http://www.huffingtonpost.com/2010/03/21/health-care-vote-live-upd_n_507238.html#s75012	neutral	jbaldridge		
5227331.0	Cubachi	RT @philipaklein: RT @JeffreyYoung_HC: Dem Reps. Lincoln Davis (TN) and John Tanner (TN) will both vote no again on #hcr	neutral	jbaldridge		
22303656.0	sarahjoyhays	RT @toddeherman: RT @GOPinkPolitics: DON'T GIVE UP! I GOT THRU TO STUPAK ON THIS NUMBER 202-225-4735   just minutes ago! #hcr #tcot	negative	jbaldridge		
18364499.0	rtstrategy	To those in US who r working so hard to deny 32 million people what should be a basic right of citizenship - shame on you. #hcr	positive	jbaldridge		
